Gauge,Level,Date
Bredwardine,5.22,28/12/2023
Bredwardine,6.22,03/01/2024
Bredwardine,3.97,22/01/2024
Bredwardine,4.55,22/02/2024
Bridgnorth,4.58,23/10/2023
Bridgnorth,2.62,06/11/2023
Bridgnorth,3.65,11/02/2024
Bridgnorth,3.41,13/12/2023
Bridgnorth,4.17,31/12/2023
Bridgnorth,4.9,05/01/2024
Bridgnorth,2.77,26/01/2024
Bridgnorth,3.64,24/02/2024
Brimscombe,0.9,28/10/2023
Brimscombe,0.97,04/11/2023
Brimscombe,1.12,10/02/2024
Brimscombe,1.07,15/12/2023
Brimscombe,1.12,01/01/2024
Brimscombe,1.25,04/01/2024
Brimscombe,1.04,22/01/2024
Brimscombe,1.2,22/02/2024
Broadeye Bridge,1.62,29/12/2023
Bromsgrove Burcot Avenue,0.35,20/10/2023
Bromsgrove Burcot Avenue,0.13,04/11/2023
Bromsgrove Burcot Avenue,0.19,10/12/2023
Bromsgrove Burcot Avenue,0.21,01/01/2024
Bromsgrove Burcot Avenue,0.24,02/01/2024
Bromsgrove Burcot Avenue,0.15,22/01/2024
Bromsgrove Factory Lane,1.71,20/10/2023
Bromsgrove Factory Lane,0.71,04/11/2023
Bromsgrove Factory Lane,0.97,10/12/2023
Bromsgrove Factory Lane,1.08,01/01/2024
Bromsgrove Factory Lane,1.31,02/01/2024
Bromsgrove Factory Lane,1.03,22/01/2024
Bromyard,3.24,20/10/2023
Bromyard,1.3,04/11/2023
Bromyard,2.66,09/02/2024
Bromyard,1.96,10/12/2023
Bromyard,2.19,28/12/2023
Bromyard,2.78,02/01/2024
Bromyard,1.95,22/01/2024
Bromyard,2.65,22/02/2024
Brookhouse Farm,1.06,20/10/2023
Brookhouse Farm,1.13,02/11/2023
Brookhouse Farm,0.66,09/02/2024
Brookhouse Farm,0.82,09/12/2023
Brookhouse Farm,0.92,01/01/2024
Brookhouse Farm,1.03,02/01/2024
Brookhouse Farm,0.42,21/01/2024
Brookhouse Farm,0.94,22/02/2024
Brookvale Road,2.82,20/10/2023
Brookvale Road,1.63,04/11/2023
Brookvale Road,2.42,09/02/2024
Brookvale Road,1.64,09/12/2023
Brookvale Road,1.71,02/01/2024
Brookvale Road,2.8,02/01/2024
Brookvale Road,1.36,22/01/2024
Brookvale Road,2.54,22/02/2024
Broom,2.49,20/10/2023
Broom,0.67,02/11/2023
Broom,2.15,09/02/2024
Broom,1.34,09/12/2023
Broom,1.68,29/12/2023
Broom,2.13,02/01/2024
Broom,0.65,22/01/2024
Broom,1.73,22/02/2024
Buildwas,5.63,23/10/2023
Buildwas,3.43,06/11/2023
Buildwas,4.46,11/02/2024
Buildwas,4.27,15/12/2023
Buildwas,5.02,31/12/2023
Buildwas,6.35,04/01/2024
Buildwas,3.69,26/01/2024
Buildwas,4.41,24/02/2024
Burcote,1.24,21/10/2023
Burcote,0.56,06/11/2023
Burcote,0.99,10/02/2024
Burcote,0.64,11/12/2023
Burcote,0.57,29/12/2023
Burcote,1.38,03/01/2024
Burcote,0.37,22/01/2024
Burcote,1.27,23/02/2024
Burford Bridge,5.97,21/10/2023
Burford Bridge,1.2,04/11/2023
Burford Bridge,2.48,09/02/2024
Burford Bridge,1.49,09/12/2023
Burford Bridge,1.76,27/12/2023
Burford Bridge,3.64,02/01/2024
Burford Bridge,1.11,22/01/2024
Burford Bridge,2.97,22/02/2024
Bushbury Wychall Drive,0.82,20/10/2023
Bushbury Wychall Drive,0.54,05/11/2023
Bushbury Wychall Drive,0.46,09/12/2023
Bushbury Wychall Drive,0.54,28/12/2023
Bushbury Wychall Drive,0.69,02/01/2024
Bushbury Wychall Drive,0.18,21/01/2024
Butts Bridge,3.18,20/10/2023
Butts Bridge,2.73,05/11/2023
Butts Bridge,3.18,09/02/2024
Butts Bridge,2.73,13/12/2023
Butts Bridge,2.94,02/01/2024
Butts Bridge,3.68,03/01/2024
Butts Bridge,1.57,22/01/2024
Butts Bridge,2.9,22/02/2024
Byton,1.49,21/10/2023
Byton,1.13,04/11/2023
Byton,1.48,09/02/2024
Byton,1.17,12/12/2023
Byton,1.23,01/01/2024
Byton,1.93,03/01/2024
Byton,0.78,22/01/2024
Byton,1.39,22/02/2024
CRAVEN ARMS BURNSIDE CLOSE,0.98,20/10/2023
CRAVEN ARMS BURNSIDE CLOSE,0.45,04/11/2023
CRAVEN ARMS BURNSIDE CLOSE,0.53,12/12/2023
CRAVEN ARMS BURNSIDE CLOSE,0.65,27/12/2023
CRAVEN ARMS BURNSIDE CLOSE,0.86,02/01/2024
CRAVEN ARMS BURNSIDE CLOSE,0.35,21/01/2024
Cae Howel (Severn),5.76,22/10/2023
Cae Howel (Severn),4.58,05/11/2023
Cae Howel (Severn),5.25,10/02/2024
Cae Howel (Severn),5.29,13/12/2023
Cae Howel (Severn),5.46,29/12/2023
Cae Howel (Severn),5.95,03/01/2024
Cae Howel (Severn),5.2,24/01/2024
Cae Howel (Severn),5.22,23/02/2024
Cae Howel - New Cut,5.49,29/12/2023
Cae Howel - New Cut,5.94,03/01/2024
Cae Howel - New Cut,3.99,24/01/2024
Calthorpe Park,1.65,20/10/2023
Calthorpe Park,0.73,04/11/2023
Calthorpe Park,1.44,09/02/2024
Calthorpe Park,1.02,10/12/2023
Calthorpe Park,1.15,01/01/2024
Calthorpe Park,1.27,02/01/2024
Calthorpe Park,0.93,22/01/2024
Calthorpe Park,1.36,22/02/2024
Cam,1.17,20/10/2023
Cam,1.09,04/11/2023
Cam,1.26,09/02/2024
Cam,1.08,09/12/2023
Cam,1.2,31/12/2023
Cam,1.33,02/01/2024
Cam,1.04,22/01/2024
Cam,1.08,22/02/2024
Cambridge,0.62,20/10/2023
Cambridge,0.43,04/11/2023
Cambridge,0.7,09/02/2024
Cambridge,0.43,09/12/2023
Cambridge,0.62,01/01/2024
Cambridge,0.65,02/01/2024
Cambridge,0.52,22/01/2024
Cambridge,0.5,22/02/2024
Cannock,1.48,20/10/2023
Cannock,0.78,04/11/2023
Cannock,1.09,09/02/2024
Cannock,0.88,09/12/2023
Cannock,0.99,28/12/2023
Cannock,1.04,02/01/2024
Cannock,0.75,21/01/2024
Cannock,1,22/02/2024
Castle Farm,2.32,21/10/2023
Castle Farm,1.61,05/11/2023
Castle Farm,2.15,09/02/2024
Castle Farm,1.87,09/12/2023
Castle Farm,1.94,29/12/2023
Castle Farm,2.2,03/01/2024
Castle Farm,1.45,23/01/2024
Castle Farm,1.98,23/02/2024
Chalford,0.21,22/10/2023
Chalford,0.33,05/11/2023
Chalford,0.39,10/02/2024
Chalford,0.38,13/12/2023
Chalford,0.39,01/01/2024
Chalford,0.49,04/01/2024
Chalford,0.3,22/01/2024
Chalford,0.45,24/02/2024
Charlton Kings,0.71,20/10/2023
Charlton Kings,0.56,02/11/2023
Charlton Kings,0.88,09/02/2024
Charlton Kings,0.55,12/12/2023
Charlton Kings,0.67,30/12/2023
Charlton Kings,0.74,02/01/2024
Charlton Kings,0.47,22/01/2024
Charlton Kings,0.66,22/02/2024
Charterhouse Bridge,1.67,20/10/2023
Charterhouse Bridge,0.44,02/11/2023
Charterhouse Bridge,1.4,09/02/2024
Charterhouse Bridge,0.86,10/12/2023
Charterhouse Bridge,1.06,28/12/2023
Charterhouse Bridge,1.34,02/01/2024
Charterhouse Bridge,0.6,22/01/2024
Charterhouse Bridge,0.91,22/02/2024
Cheadle,0.87,20/10/2023
Cheadle,0.86,02/11/2023
Cheadle,0.71,09/12/2023
Cheadle,0.81,01/01/2024
Cheadle,0.79,02/01/2024
Cheadle,0.36,21/01/2024
Cheswick Green,1.56,20/10/2023
Cheswick Green,0.97,04/11/2023
Cheswick Green,1.52,09/02/2024
Cheswick Green,1.26,10/12/2023
Cheswick Green,1.38,28/12/2023
Cheswick Green,1.5,02/01/2024
Cheswick Green,0.92,22/01/2024
Cheswick Green,1.41,22/02/2024
Cheyney Close,1.54,20/10/2023
Cheyney Close,0.39,04/11/2023
Cheyney Close,0.72,09/02/2024
Cheyney Close,0.35,10/12/2023
Cheyney Close,0.41,31/12/2023
Cheyney Close,0.59,02/01/2024
Cheyney Close,0.41,22/01/2024
Cheyney Close,0.43,22/02/2024
Childswickham,0.76,20/10/2023
Childswickham,0.39,04/11/2023
Childswickham,0.69,09/02/2024
Childswickham,0.46,09/12/2023
Childswickham,0.46,31/12/2023
Childswickham,0.51,02/01/2024
Childswickham,0.28,22/01/2024
Church Stretton,0.54,20/10/2023
Church Stretton,0.24,04/11/2023
Church Stretton,0.27,09/02/2024
Church Stretton,0.24,09/12/2023
Church Stretton,0.24,01/01/2024
Church Stretton,0.29,02/01/2024
Church Stretton,0.12,21/01/2024
Church Stretton,0.27,22/02/2024
Churchbridge Hall Lane,2.52,28/10/2023
Churchbridge Hall Lane,0.24,04/11/2023
Churchbridge Hall Lane,0.24,09/12/2023
Churchbridge Hall Lane,0.96,28/12/2023
Churchbridge Hall Lane,0.92,02/01/2024
Churchbridge Hall Lane,0.18,21/01/2024
Churchover,1.63,21/10/2023
Churchover,1.58,03/11/2023
Churchover,1.64,09/02/2024
Churchover,1.57,11/12/2023
Churchover,1.65,31/12/2023
Churchover,1.76,02/01/2024
Churchover,1.22,22/01/2024
Churchover,1.61,23/02/2024
Clay Coton,2.08,20/10/2023
Clay Coton,1.86,03/11/2023
Clay Coton,2.23,09/02/2024
Clay Coton,1.94,09/12/2023
Clay Coton,2.12,31/12/2023
Clay Coton,2.28,02/01/2024
Clay Coton,1.21,22/01/2024
Clay Coton,2.05,22/02/2024
Clifton Hall,2.18,20/10/2023
Clifton Hall,1.55,03/11/2023
Clifton Hall,1.81,09/02/2024
Clifton Hall,1.54,10/12/2023
Clifton Hall,1.46,28/12/2023
Clifton Hall,2.09,03/01/2024
Clifton Hall,0.34,22/01/2024
Clifton Hall,1.92,22/02/2024
Clifton Road,0.93,20/10/2023
Clifton Road,0.45,05/11/2023
Clifton Road,0.41,09/12/2023
Clifton Road,0.48,01/01/2024
Clifton Road,0.94,02/01/2024
Clifton Road,0.32,22/01/2024
Clomoney Way,1.68,20/10/2023
Clomoney Way,0.9,04/11/2023
Clomoney Way,1.48,09/02/2024
Clomoney Way,0.74,09/12/2023
Clomoney Way,1.08,31/12/2023
Clomoney Way,1.19,02/01/2024
Clomoney Way,0.89,22/01/2024
Clomoney Way,0.91,22/02/2024
Coleshill,1.73,20/10/2023
Coleshill,0.53,04/11/2023
Coleshill,1.18,09/02/2024
Coleshill,0.77,10/12/2023
Coleshill,0.85,27/12/2023
Coleshill,1.35,02/01/2024
Coleshill,0.6,22/01/2024
Coleshill,0.85,22/02/2024
Coven,2.24,20/10/2023
Coven,1.36,05/11/2023
Coven,2.03,09/02/2024
Coven,1.47,09/12/2023
Coven,1.62,28/12/2023
Coven,2.22,02/01/2024
Coven,1,22/01/2024
Coven,2.18,22/02/2024
Cox'S Flume,1.29,20/10/2023
Cox'S Flume,0.83,02/11/2023
Cox'S Flume,1.46,09/02/2024
Cox'S Flume,0.88,12/12/2023
Cox'S Flume,1.26,30/12/2023
Cox'S Flume,1.32,02/01/2024
Cox'S Flume,0.64,22/01/2024
Cox'S Flume,1.2,22/02/2024
Cox'S Meadow Storage Area,0.22,20/10/2023
Cox'S Meadow Storage Area,0.02,04/11/2023
Cox'S Meadow Storage Area,0.9,11/02/2024
Cox'S Meadow Storage Area,0.02,09/12/2023
Cox'S Meadow Storage Area,0.15,31/12/2023
Cox'S Meadow Storage Area,0.25,02/01/2024
Cox'S Meadow Storage Area,0.02,23/01/2024
Cox'S Meadow Storage Area,0.13,23/02/2024
Cresswell,1.35,20/10/2023
Cresswell,0.83,03/11/2023
Cresswell,0.75,09/02/2024
Cresswell,0.92,09/12/2023
Cresswell,0.94,01/01/2024
Cresswell,1.31,02/01/2024
Cresswell,0.47,22/01/2024
Cresswell,0.88,22/02/2024
Crew Green,6.44,21/10/2023
Crew Green,5.04,05/11/2023
Crew Green,5.99,09/02/2024
Crew Green,5.9,13/12/2023
Crew Green,6.12,29/12/2023
Crew Green,6.48,03/01/2024
Crew Green,5.89,24/01/2024
Crew Green,5.85,23/02/2024
Croxall,2.3,22/10/2023
Croxall,2.02,05/11/2023
Croxall,2.1,11/12/2023
Croxall,2.04,29/12/2023
Croxall,2.29,04/01/2024
Croxall,1.18,22/01/2024
Darlaston,2.69,20/10/2023
Darlaston,2.26,03/11/2023
Darlaston,1.71,09/02/2024
Darlaston,2.24,09/12/2023
Darlaston,2.18,02/01/2024
Darlaston,2.73,02/01/2024
Darlaston,1.56,22/01/2024
Darlaston,2.22,22/02/2024
Deepmore Farm,1.66,20/10/2023
Deepmore Farm,0.96,04/11/2023
Deepmore Farm,1.46,09/02/2024
Deepmore Farm,1.12,09/12/2023
Deepmore Farm,1.24,28/12/2023
Deepmore Farm,1.6,02/01/2024
Deepmore Farm,0.65,22/01/2024
Deepmore Farm,1.5,22/02/2024
Deerhurst,5.29,22/10/2023
Deerhurst,4.71,06/11/2023
Diglis,4.95,22/10/2023
Diglis,3.3,05/11/2023
Diglis,4.72,10/02/2024
Diglis,4.11,14/12/2023
Diglis,4.7,01/01/2024
Diglis,5.12,03/01/2024
Diglis,2.35,26/01/2024
Diglis,4.56,23/02/2024
Doveridge,3,21/10/2023
Doveridge,2.81,03/11/2023
Doveridge,2.6,09/02/2024
Doveridge,2.74,10/12/2023
Doveridge,2.56,27/12/2023
Doveridge,2.86,03/01/2024
Doveridge,1.44,22/01/2024
Doveridge,2.62,22/02/2024
Drakelow,3.52,22/10/2023
Drakelow,2.49,06/11/2023
Drakelow,3.32,10/02/2024
Drakelow,2.74,11/12/2023
Drakelow,2.6,30/12/2023
Drakelow,3.88,04/01/2024
Drakelow,1.76,22/01/2024
Drakelow,3.21,24/02/2024
Dutlas,2.22,20/10/2023
Dutlas,0.71,04/11/2023
Dutlas,1.08,09/02/2024
Dutlas,0.78,09/12/2023
Dutlas,1.23,01/01/2024
Dutlas,1.81,02/01/2024
Dutlas,0.63,21/01/2024
Dutlas,1.16,22/02/2024
Eardisland,1.03,20/10/2023
Eardisland,0.89,04/11/2023
Eardisland,1.09,09/02/2024
Eardisland,0.87,12/12/2023
Eardisland,1.05,28/12/2023
Eardisland,1.48,02/01/2024
Eardisland,0.75,22/01/2024
Eardisland,1.01,22/02/2024
Eastington,1.49,20/10/2023
Eastington,1.02,04/11/2023
Eastington,1.51,09/02/2024
Eastington,1.07,13/12/2023
Eastington,1.41,02/01/2024
Eastington,1.52,02/01/2024
Eastington,1.03,22/01/2024
Eastington,1.41,22/02/2024
Eathorpe,1.84,21/10/2023
Eathorpe,1.99,03/11/2023
Eathorpe,2.59,09/02/2024
Eathorpe,2.21,10/12/2023
Eathorpe,2.51,31/12/2023
Eathorpe,2.66,03/01/2024
Eathorpe,0.88,23/01/2024
Eathorpe,2.39,23/02/2024
Ebley Mill,0.8,20/10/2023
Ebley Mill,0.63,04/11/2023
Ebley Mill,0.84,09/02/2024
Ebley Mill,0.68,12/12/2023
Ebley Mill,0.85,01/01/2024
Ebley Mill,0.93,02/01/2024
Ebley Mill,0.62,22/01/2024
Ebley Mill,0.86,22/02/2024
Egypt Mill,0.5,28/10/2023
Egypt Mill,0.56,04/11/2023
Egypt Mill,0.25,09/02/2024
Egypt Mill,0.57,12/12/2023
Egypt Mill,0.68,01/01/2024
Egypt Mill,0.72,03/01/2024
Egypt Mill,0.6,25/01/2024
Egypt Mill,0.66,22/02/2024
Epney,6.6,28/10/2023
Epney,5.4,01/11/2023
Epney,6.56,11/02/2024
Epney,5.16,15/12/2023
Epney,4.95,27/12/2023
Epney,3.89,02/01/2024
Epney,4.21,25/01/2024
Epney,5.12,24/02/2024
Evesham,3.3,21/10/2023
Evesham,1.8,05/11/2023
Evesham,3.52,09/02/2024
Evesham,2.27,10/12/2023
Evesham,2.73,01/01/2024
Evesham,3.85,03/01/2024
Evesham,1.13,22/01/2024
Evesham,3.01,23/02/2024
Eywas Harold,0.5,20/10/2023
Eywas Harold,0.84,04/11/2023
Eywas Harold,1.36,09/02/2024
Eywas Harold,1.19,09/12/2023
Eywas Harold,1.04,27/12/2023
Eywas Harold,1.73,02/01/2024
Eywas Harold,1.06,22/01/2024
Farley bridge,2.51,20/10/2023
Farley bridge,1.7,04/11/2023
Farley bridge,1.62,09/12/2023
Farley bridge,1.85,28/12/2023
Farley bridge,2.33,02/01/2024
Farley bridge,0.94,22/01/2024
Feckenham,2.1,20/10/2023
Feckenham,0.44,04/11/2023
Feckenham,1.32,09/02/2024
Feckenham,0.86,09/12/2023
Feckenham,1.16,28/12/2023
Feckenham,1.35,02/01/2024
Feckenham,0.43,22/01/2024
Feckenham,1.24,22/02/2024
Field Court Drive,0.84,20/10/2023
Field Court Drive,0.24,04/11/2023
Field Court Drive,0.33,09/02/2024
Field Court Drive,0.23,12/12/2023
Field Court Drive,0.28,27/12/2023
Field Court Drive,0.31,02/01/2024
Field Court Drive,0.35,21/01/2024
Field Court Drive,0.42,22/02/2024
Flint Mill,2.95,20/10/2023
Flint Mill,3.19,03/11/2023
Flint Mill,1.61,09/02/2024
Flint Mill,2.14,10/12/2023
Flint Mill,1.83,02/01/2024
Flint Mill,2.99,02/01/2024
Flint Mill,1.13,22/01/2024
Flint Mill,2.2,22/02/2024
Ford Bridge,1.54,24/10/2023
Ford Bridge,2.27,05/11/2023
Ford Bridge,2.39,13/12/2023
Ford Bridge,2.98,29/12/2023
Ford Bridge,3.87,03/01/2024
Ford Bridge,1.29,22/01/2024
Froghall,2.16,20/10/2023
Froghall,2.36,03/11/2023
Froghall,1.33,09/02/2024
Froghall,1.45,10/12/2023
Froghall,1.55,02/01/2024
Froghall,2.15,03/01/2024
Froghall,0.76,22/01/2024
Froghall,1.43,22/02/2024
Gloucester,3.93,28/10/2023
Gloucester,3.26,01/11/2023
Gloucester,4.04,11/02/2024
Gloucester,3.43,14/12/2023
Gloucester,3.26,01/01/2024
Gloucester,4.75,08/01/2024
Gloucester,2.36,25/01/2024
Gloucester,3.86,24/02/2024
Great Bridgford,1.49,21/10/2023
Great Bridgford,1.14,03/11/2023
Great Bridgford,1.11,09/02/2024
Great Bridgford,1.19,10/12/2023
Great Bridgford,1.18,28/12/2023
Great Bridgford,1.41,02/01/2024
Great Bridgford,0.8,22/01/2024
Great Bridgford,1.2,23/02/2024
Great Haywood,2.97,21/10/2023
Great Haywood,2.31,03/11/2023
Great Haywood,2.44,10/02/2024
Great Haywood,2.47,10/12/2023
Great Haywood,2.28,29/12/2023
Great Haywood,2.99,03/01/2024
Great Haywood,1.61,22/01/2024
Great Haywood,2.61,23/02/2024
Halesowen,2.07,20/10/2023
Halesowen,0.98,04/11/2023
Halesowen,1.54,09/02/2024
Halesowen,1.06,09/12/2023
Halesowen,1.2,02/01/2024
Halesowen,1.32,02/01/2024
Halesowen,1,22/01/2024
Halesowen,1.59,22/02/2024
Halesowen Dogkennel Lane,1.47,20/10/2023
Halesowen Dogkennel Lane,0.39,04/11/2023
Halesowen Dogkennel Lane,0.4,09/12/2023
Halesowen Dogkennel Lane,0.58,02/01/2024
Halesowen Dogkennel Lane,0.81,02/01/2024
Halesowen Dogkennel Lane,0.3,22/01/2024
Halesowen Manor Way,2.24,20/10/2023
Halesowen Manor Way,0.56,04/11/2023
Halesowen Manor Way,0.79,09/12/2023
Halesowen Manor Way,1.1,01/01/2024
Halesowen Manor Way,1.18,02/01/2024
Halesowen Manor Way,0.58,22/01/2024
Hall Green Road,1.88,20/10/2023
Hall Green Road,1,02/11/2023
Hall Green Road,1.94,09/02/2024
Hall Green Road,1.33,10/12/2023
Hall Green Road,1.39,01/01/2024
Hall Green Road,2.09,02/01/2024
Hall Green Road,1.21,22/01/2024
Hall Green Road,1.7,22/02/2024
Hamstall Ridware,1.18,20/10/2023
Hamstall Ridware,0.92,05/11/2023
Hamstall Ridware,1.13,09/02/2024
Hamstall Ridware,0.95,13/12/2023
Hamstall Ridware,1.08,28/12/2023
Hamstall Ridware,1.27,02/01/2024
Hamstall Ridware,0.2,24/01/2024
Hamstall Ridware,1.25,22/02/2024
Hanford Bridge,1.89,20/10/2023
Hanford Bridge,1.57,02/11/2023
Hanford Bridge,1.11,09/02/2024
Hanford Bridge,1.35,09/12/2023
Hanford Bridge,1.52,01/01/2024
Hanford Bridge,2,02/01/2024
Hanford Bridge,0.93,22/01/2024
Hanford Bridge,1.45,22/02/2024
Harford Hill,2.54,20/10/2023
Harford Hill,1.28,04/11/2023
Harford Hill,2.39,09/02/2024
Harford Hill,2.16,11/12/2023
